% Model,TE and H2_array.mph,,
% Version,COMSOL 5.6.0.280,,
% Date,"Dec 2 2022, 14:38",,
% Dimension,3,,
% Nodes,20933,,
% Expressions,2,,
% Description,"Temperature, Temperature",,
% Length unit,mm,,
% x,y,z,T (K)
0.702621561,10.5,-1.7,311.3793521
0.943104069,10.5,-2,311.4257362
0.858576759,9.942168375,-1.7,311.3482463
1.017393052,10.35,-1.7,311.3555975
1.5,10.5,-1.7,311.3773097
1.458087574,9.819802701,-1.7,311.3486305
1.982606948,9.15,-1.7,311.3403668
2.7,9.15,-1.7,311.3466231
3,9.75,-1.7,311.3986608
3,9.75,-2,311.4410782
2.210481846,9.748983317,-1.7,311.3426181
2.7,9.75,-1.7,311.3522538
1.982606948,10.35,-1.7,311.3565556
2.7,10.35,-1.7,311.3654901
3,10.5,-1.7,311.4073239
2.2,9.15,0,300.1258933
1.7,9.15,0,300.1362994
2.7,9.15,0,300.0877193
1.3,9.15,0,300.1836912
1.301607211,9.538202855,0.3,300.1448308
1.7,9.75,0,300.1604086
1.3,9.75,0,300.2115067
0.90918075,9.607285368,0,300.2149648
0.8,9.15,0,300.2017333
1.7,10.35,0,300.162086
1.5,10.5,0,300.1871836
1.5,10.5,0.3,300.1488913
2.232667668,10.5,0,300.1429747
1.3,10.35,0,300.209675
0.767332332,10.5,0,300.2322679
0.3,9.15,0,300.1879341
1.856477493,9.584655039,0.3,300.1018261
2.2,10.35,0,300.1502578
2.30918075,9.607285368,0,300.1346746
2.430941923,9.504627942,0.3,300.0683824
2.7,9.75,0,300.1173063
2.240318275,10.5,0.3,300.1018764
2.7,10.35,0,300.1094838
3,9.75,0,300.0254007
3,9.75,0.3,299.956347
3,10.5,0,300.0644643
0.759681725,10.5,0.3,300.1861327
0.8,10.35,0,300.2271207
0.3,10.35,0,300.2174624
0,10.5,0,300.2116919
0.816172119,9.797229516,0.3,300.1685461
0.3,9.75,0,300.2198134
0,9.75,0,300.1708543
0,9.75,0.3,300.1455565
0,10.5,0.3,300.1669554
3,10.5,0.3,299.9711212
0.640040672,10.97575711,-2,311.438942
2.353100729,11.24868805,-2,311.4378155
0.702621561,12,-1.7,311.4132066
0.3,11.85,-1.7,311.4018984
0,12,-2,311.4770681
0.943104069,12,-2,311.4590654
0,11.25,-1.7,311.431679
0,11.25,-2,311.4649731
0,12,-1.7,311.4372244
